,name,discountedPrice,imgUrl,actualPrice,rating
0,,,https://images-na.ssl-images-amazon.com/images/G/31/img20/Wireless/MobileInsider/June/10th/420x420_5._CB429051440_QL95_SY80_.jpg,,
1,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)","8,799",https://m.media-amazon.com/images/I/71A9Vo1BatL._AC_UY218_.jpg,"₹8,799",4.1 out of 5 stars
2,"Redmi 9A (Nature Green, 2GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","6,799",https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg,"₹6,799",4.2 out of 5 stars
3,,,https://images-na.ssl-images-amazon.com/images/G/31/img20/Wireless/MobileInsider/June/10th/420x420_5._CB429051440_QL95_SY80_.jpg,,
4,"(Renewed) Samsung Galaxy F41 (Fusion Black, 6GB RAM, 64GB Storage)","15,499",https://m.media-amazon.com/images/I/51IwsJ2F+qL._AC_UY218_.jpg,"₹15,499",
5,"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","11,990",https://m.media-amazon.com/images/I/71KCwNV6MuL._AC_UY218_.jpg,"₹11,990",4.2 out of 5 stars
6,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)","8,799",https://m.media-amazon.com/images/I/71A9Vo1BatL._AC_UY218_.jpg,"₹8,799",4.1 out of 5 stars
7,"Vivo Y31 (Ocean Blue, 6GB, 128GB Storage) with No Cost EMI/Additional Exchange Offers","16,490",https://m.media-amazon.com/images/I/71YW54xTE1L._AC_UY218_.jpg,"₹16,490",4.3 out of 5 stars
8,,,,,
9,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","10,999",https://m.media-amazon.com/images/I/71X5I1cVfbL._AC_UY218_.jpg,"₹10,999",4.2 out of 5 stars
10,"Redmi 9A (Nature Green, 2GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","6,799",https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg,"₹6,799",4.2 out of 5 stars
11,"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","11,990",https://m.media-amazon.com/images/I/71KCwNV6MuL._AC_UY218_.jpg,"₹11,990",4.2 out of 5 stars
12,"Tecno Spark 5 Pro (Seabed Blue, 4GB RAM, 64GB Storage)","9,399",https://m.media-amazon.com/images/I/81sXQ5gXL3L._AC_UY218_.jpg,"₹9,399",3.9 out of 5 stars
13,"Vivo V20 2021 Sunset Melody, 8GB RAM, 128GB Storage","22,990",https://m.media-amazon.com/images/I/610d0YkZOtL._AC_UY218_.jpg,"₹22,990",4.4 out of 5 stars
14,"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","16,499",https://m.media-amazon.com/images/I/71-Su4Wr0HL._AC_UY218_.jpg,"₹16,499",4.3 out of 5 stars
15,"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","11,990",https://m.media-amazon.com/images/I/61IhTtJUXJL._AC_UY218_.jpg,"₹11,990",4.2 out of 5 stars
16,,,,,
17,,,"https://m.media-amazon.com/images/S/onsitepublishing-media-prod/65ef407d-dcb4-43cc-9e27-d811b1526d73/images/47f34610-b0b9-4a1f-a570-60d4082c2fb0._CR0,227,3022,1813_SY200_TTD_.jpg",,
18,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","10,999",https://m.media-amazon.com/images/I/71X5I1cVfbL._AC_UY218_.jpg,"₹10,999",4.2 out of 5 stars
19,Research in motion-BB BlackBerry Curve 9220 with 2MP Primary Camera -Black,"4,799",https://m.media-amazon.com/images/I/41N6BIGpO1L._AC_UY218_.jpg,"₹4,799",
20,"Gionee A1 Lite (Black, 3GB RAM, 32GB Storage)","6,290",https://m.media-amazon.com/images/I/71FECXAzWZL._AC_UY218_.jpg,"₹6,290",3.4 out of 5 stars
21,"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","6,199",https://m.media-amazon.com/images/I/71AYb2AGHXL._AC_UY218_.jpg,"₹6,199",3.6 out of 5 stars
22,"Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera","9,999",https://m.media-amazon.com/images/I/71U2SiHgbiL._AC_UY218_.jpg,"₹9,999",4.3 out of 5 stars
23,"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","16,499",https://m.media-amazon.com/images/I/71-Su4Wr0HL._AC_UY218_.jpg,"₹16,499",4.3 out of 5 stars
24,"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","11,990",https://m.media-amazon.com/images/I/61IhTtJUXJL._AC_UY218_.jpg,"₹11,990",4.2 out of 5 stars
25,"LG W41 (Magic Blue, 48 MP Quad Camera, 4GB RAM, 64GB Storage)","12,989",https://m.media-amazon.com/images/I/614+W18ms+L._AC_UY218_.jpg,"₹12,989",3.3 out of 5 stars
26,"Vivo Y91i (Ocean Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","8,490",https://m.media-amazon.com/images/I/51-T19jXchL._AC_UY218_.jpg,"₹8,490",4.2 out of 5 stars
27,"Vivo Y20i (Nebula Blue, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","11,490",https://m.media-amazon.com/images/I/71INGYhIf0L._AC_UY218_.jpg,"₹11,490",4.2 out of 5 stars
28,"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","5,004",https://m.media-amazon.com/images/I/41QsvcpKaZL._AC_UY218_.jpg,"₹5,004",3.0 out of 5 stars
29,"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","13,999",https://m.media-amazon.com/images/I/71dujTTJDZL._AC_UY218_.jpg,"₹13,999",4.2 out of 5 stars
30,"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","6,199",https://m.media-amazon.com/images/I/71AYb2AGHXL._AC_UY218_.jpg,"₹6,199",3.6 out of 5 stars
31,"(Renewed) Samsung Galaxy F41 (Fusion Blue, 6GB RAM, 64GB Storage)","15,499",https://m.media-amazon.com/images/I/51hrxoJdNBL._AC_UY218_.jpg,"₹15,499",
32,"YU YU5040 (Chrome Black, 4GB RAM, 32GB Storage)","6,999",https://m.media-amazon.com/images/I/51bk6IuaGzL._AC_UY218_.jpg,"₹6,999",3.6 out of 5 stars
33,Research in motion-BB BlackBerry 9900 with 5MP Camera-Black,"9,200",https://m.media-amazon.com/images/I/61xruntCq2L._AC_UY218_.jpg,"₹9,200",1.0 out of 5 stars
34,"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free","12,999",https://m.media-amazon.com/images/I/81fwKtv0VHL._AC_UY218_.jpg,"₹12,999",4.2 out of 5 stars
35,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)","24,999",https://m.media-amazon.com/images/I/710weRkP-nL._AC_UY218_.jpg,"₹24,999",4.4 out of 5 stars
36,"OPPO A31 (Fantasy White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","10,990",https://m.media-amazon.com/images/I/61IhTtJUXJL._AC_UY218_.jpg,"₹10,990",4.2 out of 5 stars
37,"Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera","9,999",https://m.media-amazon.com/images/I/71U2SiHgbiL._AC_UY218_.jpg,"₹9,999",4.3 out of 5 stars
38,"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","5,004",https://m.media-amazon.com/images/I/41QsvcpKaZL._AC_UY218_.jpg,"₹5,004",3.0 out of 5 stars
39,"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","13,999",https://m.media-amazon.com/images/I/71dujTTJDZL._AC_UY218_.jpg,"₹13,999",4.2 out of 5 stars
40,"OPPO A15s (Fancy White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","11,490",https://m.media-amazon.com/images/I/71UnRvRqfxL._AC_UY218_.jpg,"₹11,490",4.1 out of 5 stars
41,"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","16,499",https://m.media-amazon.com/images/I/71OxJeyywSL._AC_UY218_.jpg,"₹16,499",4.3 out of 5 stars
42,"Vivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","7,990",https://m.media-amazon.com/images/I/51FnmxwFHDL._AC_UY218_.jpg,"₹7,990",4.1 out of 5 stars
43,"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free","12,999",https://m.media-amazon.com/images/I/81fwKtv0VHL._AC_UY218_.jpg,"₹12,999",4.2 out of 5 stars
